"","dst","latitud","longitud","index"
"22751453","154.54.47.17",37.751,-97.822,2275145
"22751454","154.54.47.29",37.751,-97.822,2275145
"2275146","154.54.57.154",37.751,-97.822,2275146
"22751461","154.54.57.162",37.751,-97.822,2275146
"22751462","154.54.58.174",37.751,-97.822,2275146
"22751324","154.54.7.157",37.751,-97.822,2275132
"22751325","154.54.9.17",37.751,-97.822,2275132
"2284422","155.232.1.36",-29,24,2284422
"22844221","155.232.1.40",-29,24,2284422
"22844222","155.232.1.66",-29,24,2284422
"22844223","155.232.1.68",-29,24,2284422
"2284424","155.232.15.105",-25.757,28.1443,2284424
"22844241","155.232.15.212",-25.757,28.1443,2284424
"22844242","155.232.15.216",-25.757,28.1443,2284424
"2284427","155.232.29.2",-29.8556,31.0449,2284427
"2284429","155.232.64.76",-29,24,2284429
"2312928","162.105.129.103",39.9288,116.3889,2312928
"2331569","163.200.81.55",-25.757,28.1443,2331569
"2551052","181.88.111.26",-34.6033,-58.3817,2551052
"2551054","181.88.170.46",-34.6033,-58.3817,2551054
"25510541","181.88.172.60",-34.6033,-58.3817,2551054
"25510521","181.88.80.210",-34.6033,-58.3817,2551052
"25510522","181.88.80.244",-34.6033,-58.3817,2551052
"2551112","181.89.5.199",-34.6033,-58.3817,2551112
"25511121","181.89.5.90",-34.6033,-58.3817,2551112
"25511122","181.89.5.92",-34.6033,-58.3817,2551112
"2596033","184.105.213.53",37.751,-97.822,2596033
"2596048","184.105.222.110",37.751,-97.822,2596048
"2595982","184.105.81.173",37.751,-97.822,2595982
"25959821","184.105.81.177",37.751,-97.822,2595982
"2610312","185.70.203.22",43.1479,12.1097,2610312
"26103121","185.70.203.32",43.1479,12.1097,2610312
"26103122","185.70.203.48",43.1479,12.1097,2610312
"2739150","190.216.88.33",-31.95,-62.4833,2739150
"2739943","190.224.165.110",-34.6033,-58.3817,2739943
"27399431","190.224.165.114",-34.6033,-58.3817,2739943
"2740057","190.225.252.110",-34.6033,-58.3817,2740057
"27400571","190.225.252.69",-34.6033,-58.3817,2740057
"2740198","190.227.246.204",-34.6033,-58.3817,2740198
"2761885","192.76.32.62",51.7155,-1.2926,2761885
"2784195","193.63.108.94",51.4964,-0.1224,2784195
"27841951","193.63.108.98",51.4964,-0.1224,2784195
"27841952","193.63.109.90",51.4964,-0.1224,2784195
"2820193","195.22.219.17",43.1479,12.1097,2820193
"28201931","195.22.222.15",43.1479,12.1097,2820193
"2898589","200.0.16.17",21.5,-80,2898589
"28985891","200.0.16.23",21.5,-80,2898589
"28985892","200.0.16.27",21.5,-80,2898589
"2902514","200.55.139.216",23.1194,-82.392,2902514
"2904892","200.89.165.1",-34.6033,-58.3817,2904892
"29048921","200.89.165.130",-34.6033,-58.3817,2904892
"29048922","200.89.165.149",-34.6033,-58.3817,2904892
"29048923","200.89.165.197",-34.6033,-58.3817,2904892
"29048924","200.89.165.222",-34.6033,-58.3817,2904892
"29048925","200.89.165.250",-34.6033,-58.3817,2904892
"29048926","200.89.165.5",-34.6033,-58.3817,2904892
"29048927","200.89.165.85",-34.6033,-58.3817,2904892
"29048928","200.89.165.86",-34.6033,-58.3817,2904892
"2937806","202.112.41.181",34.7725,113.7266,2937806
"29378061","202.112.41.2",34.7725,113.7266,2937806
"2936580","202.84.137.233",22.25,114.1667,2936580
"29365801","202.84.138.189",22.25,114.1667,2936580
"29365802","202.84.143.29",22.25,114.1667,2936580
"29365803","202.84.153.26",22.25,114.1667,2936580
"29365804","202.84.157.82",22.25,114.1667,2936580
"29365805","202.84.157.86",22.25,114.1667,2936580
"2936593","202.84.253.85",22.25,114.1667,2936593
"3099302","213.155.132.195",47,8,3099302
"3107656","213.248.84.80",47,8,3107656
"37782","4.68.127.54",37.751,-97.822,37782
"377821","4.68.72.66",37.751,-97.822,37782
"37852","4.69.207.29",37.751,-97.822,37852
"378521","4.69.207.33",37.751,-97.822,37852
"402612","46.33.78.78",48.8582,2.3387,402612
"559325","61.200.91.154",35.69,139.69,559325
"553107","61.8.59.38",-33.494,143.2104,553107
"572084","62.115.112.245",47,8,572084
